,asn,requests
0,DIGITALOCEAN-ASN,370
1,MICROSOFT-CORP-MSN-AS-BLOCK,212
2,AMAZON-02,112
3,AMAZON-AES,92
4,PONYNET,73
5,Chinanet,66
6,CHINA UNICOM China169 Backbone,60
7,"Linode, LLC",59
8,GOOGLE,58
9,CENSYS-ARIN-01,50
10,Turk Telekom,41
11,COGENT-174,37
12,GOOGLE-CLOUD-PLATFORM,37
13,AS-COLOCROSSING,35
14,OVH SAS,33
15,Delis LLC,31
16,"Alibaba US Technology Co., Ltd.",28
17,HURRICANE,28
18,SOFTLAYER,24
19,AS-SERVERION,24
20,Contabo GmbH,22
21,CENSYS-ARIN-03,19
22,Intem LLC,19
23,AS62904,19
24,Alpha Strike Labs GmbH,18
25,ZEN-ECN,18
26,OOO Network of data-centers Selectel,18
27,CNSERVERS,16
28,China Unicom Guangzhou network,15
29,Korea Telecom,14
30,MAJESTIC-HOSTING-01,12
31,Telecom Argentina S.A.,12
32,ORACLE-BMC-31898,12
33,CENSYS-ARIN-02,12
34,Data Communication Business Group,11
35,LIMESTONENETWORKS,11
36,IP Volume inc,11
37,"Sistemas Informaticos, S.A.",11
38,Private Layer INC,10
39,China Unicom IP network China169 Guangdong province,10
40,M247 Ltd,10
41,Netplus Broadband Services Private Limited,10
42,China Telecom Group,9
43,Ningxia West Cloud Data Technology Co.Ltd.,9
44,"Hangzhou Alibaba Advertising Co.,Ltd.",9
45,National Internet Backbone,9
46,Pptechnology Limited,8
47,RootLayer Web Services Ltd.,8
48,Wind Tre S.p.A.,8
49,Web Hosted Group Ltd,8
50,"China Mobile Communications Group Co., Ltd.",8
51,NhanHoa Software company,8
52,UCLOUD INFORMATION TECHNOLOGY HK LIMITED,7
53,MAXKO j.d.o.o.,7
54,Eonix Corporation,7
55,AgotoZ HK Limited,7
56,ASN-QUADRANET-GLOBAL,7
57,"Tencent Building, Kejizhongyi Avenue",7
58,,6
59,Online S.a.s.,6
60,RETHEMHOSTING,6
61,Bach Kim Network solutions Join stock company,6
62,Rostelecom,6
63,ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,6
