,company,requests
0,"DigitalOcean, LLC",370
1,Microsoft Corporation,206
2,Google LLC,93
3,"Censys, Inc.",81
4,Amazon Technologies Inc.,69
5,FranTech Solutions,58
6,Amazon Data Services NoVa,52
7,Serverion BV,46
8,"Amazon.com, Inc.",43
9,Turk Telekomunikasyon Anonim Sirketi,40
10,CHINANET jiangsu province network,36
11,China Unicom Henan province network,32
12,Cogent Communications,30
13,Hurricane Electric LLC,28
14,Linode,26
15,"Linode, LLC",25
16,Net Systems Research,24
17,ALICLOUD-US,23
18,Contabo GmbH,20
19,Intem LLC,19
20,ColoCrossing,18
21,Alpha Strike Labs GmbH,18
22,GDNP LLC,18
23,CloudRadium L.L.C,16
24,Shanghai UCloud Information Technology Company Limited,16
25,Zenlayer Inc,15
26,BuyVM,14
27,Korea Telecom,14
28,"United-Communications-Network-Technology-Co-Ltd, GuangZhou",14
29,Des Capital B.V.,13
30,China Unicom Shandong province network,12
31,Amazon Data Services Singapore,12
32,"NSEC - Sistemas Informaticos, S.A.",11
33,,11
34,"Chunghwa Telecom Co.,Ltd.",11
35,Oracle Corporation,10
36,Incrediserve LTD,10
37,Telecom Argentina S.A.,10
38,"Majestic Hosting Solutions, LLC",10
39,Ningxia West Cloud Data Technology Co.Ltd.,9
40,China Unicom Guangdong province network,9
41,"Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore",9
42,"Aliyun Computing Co., LTD",9
43,Virtual Machine Solutions LLC,8
44,Black.HOST CLOUD Network,8
45,NhanHoa Software company,8
46,Web Hosted Group Ltd,8
47,PPTECHNOLOGY LIMITED,8
48,139.162.0.0/16,8
49,ServerHub Los Angeles,8
50,OVH SAS,8
51,MAXKO j.d.o.o.,7
52,IT Resheniya LLC,7
53,Agotoz HK Limited,7
54,PEENQ.NL,7
55,CTG Server Ltd.,6
56,Amazon Data Services Japan,6
57,A100 ROW GmbH,6
58,CHINANET Hunan province network,6
59,RackNerd LLC,6
60,Rethem Hosting LLC,6
61,RootLayer Web Services Ltd.,6
62,"VIETTEL (CAMBODIA) PTE., LTD.",6
63,"Limestone Networks, Inc.",6
64,Vodafone Hungary Ltd.,5
65,"Interserver, Inc",5
66,Selectel Network,5
67,ONYPHE SAS,5
68,Psychz Networks,5
69,Netplus Broadband Services Private Limited,5
70,"Asia Pacific Network Information Center, Pty. Ltd.",5
71,Fastway Transmission Private Limited,5
72,Alibaba.com Singapore E-Commerce Private Limited,5
73,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,5
74,China Mobile Communications Corporation,5
75,OVH GmbH,5
76,Asianet is a cable ISP providing,5
77,Emerald Onion,5
78,Hostings House (Pvt) Ltd.,5
79,HOSTGLOBAL.PLUS LTD,4
80,Hyonix LLC,4
81,Serverius Holding B.V.,4
82,VTR BANDA ANCHA S.A.,4
83,GigaHostingServices OU,4
84,Telecom Italia S.p.A.,4
85,Hydra Communications Ltd,4
86,www.unixserv.eu,4
87,Vodafone Italia S.p.A.,4
88,"Guangdong Aofei Data Technology Co., Ltd.",4
89,Shodan LLC,4
90,Leon Ship Network Limited,4
91,Charter Communications,4
92,WIND Telecomunicazioni S.p.A,4
93,CHINANET-ZJ Taizhou node network,4
94,Charter Communications Inc,4
95,"Tencent cloud computing (Beijing) Co., Ltd.",4
96,CHINANET HUNAN PROVINCE NETWORK,4
97,"Leaseweb USA, Inc.",4
98,"vShield, Services",3
99,MTN Nigeria,3
100,DSL,3
101,Amazon Data Services France,3
102,WIND TRE S.P.A.,3
103,ServeTheWorld AS,3
104,SecurityScorecard,3
105,Hetzner Online GmbH,3
106,24 SHELLS,3
107,DialMag SWT,3
108,"Beijing Tiantexin Tech. Co., Ltd.",3
109,Datacamp Limited,3
110,DataCamp s.r.o.,3
111,PRIVATE LAYER INC,3
112,NetArt Group s.r.o.,3
113,NextGen EDV,3
114,Virtual Systems LLC,3
115,ONLINE S.A.S.,3
116,Telefonica de Espana SAU,3
117,SnTHostings,3
118,Heymman Servers Corporation,3
119,National Telecommunication Corporation,3
120,"ReadyDedis, LLC",3
121,"OVH Hosting, Inc.",3
122,Orange S.A.,3
123,UNICOM ZheJiang Province Network,3
124,Amazon Data Services UK,3
125,Transcom LLC,3
126,Network for Tor-Exit traffic.,3
127,US Zenlayer AMS BMC,3
128,"Comcast Cable Communications, Inc.",3
129,"CariNet, Inc.",3
130,Bach Kim Network solutions Join stock company,3
131,NEWTREND,3
132,Amazon Data Services Brazil,3
133,CHINANET-ZJ Hangzhou node network,3
134,SK Broadband Co Ltd,3
135,RACKIP CONSULTANCY PTE. LTD.,3
136,ADSL_Maroc_telecom,3
137,Quintex Alliance Consulting,3
138,Host Europe GmbH,3
139,QuadraNet Enterprises LLC,3
140,Telecom Italia S.p.A. TIN EASY LITE,2
141,HYUNDAI COMMUNICATIONS   NETWORK,2
