,country,requests
0,US,1148
1,CN,219
2,NL,145
3,DE,131
4,GB,77
5,RU,75
6,TR,56
7,FR,44
8,SG,43
9,IN,41
10,HK,40
11,CA,35
12,IT,27
13,AU,26
14,AR,26
15,BE,26
16,KR,22
17,LU,21
18,JP,20
19,VN,19
20,BR,17
21,HU,16
22,TW,15
23,PL,14
24,UA,14
25,CH,10
26,NO,9
27,IE,8
28,CZ,7
29,KH,7
30,MA,7
31,SK,7
32,HR,7
33,ID,7
34,ES,6
35,IL,5
36,NG,5
37,SE,5
38,CL,4
39,ZA,4
40,AT,3
41,CO,3
42,BG,3
43,AE,3
44,PK,3
45,MY,3
46,RO,3
47,LT,2
48,KZ,2
49,CY,2
50,SI,2
51,UZ,2
52,AM,2
53,GE,1
54,RS,1
55,LV,1
56,TN,1
57,MK,1
58,DK,1
59,NI,1
60,MX,1
61,PE,1
62,EE,1
63,PT,1
64,IS,1
65,FI,1
